Year,Month,Apple Profit,Banana Profit
2014,1,-4025,3450
2014,2,4050,-1350
2014,3,12350,12350
2014,4,7500,6875
2014,5,4950,1650
2014,6,11000,550
2014,7,2875,2300
2014,8,7350,-1050
2014,9,2025,225
2014,10,0,3000
2014,11,2175,8700
2014,12,1200,-400
2015,1,1750,1400
2015,2,500,500
2015,3,5100,5525
2015,4,10175,925
2015,5,4500,-1500
2015,6,-1200,2400
2015,7,16000,0
2015,8,1650,2750
2015,9,3000,9750
2015,10,11550,0
2015,11,1900,2375
2015,12,1950,5850
2016,1,425,6375
2016,2,-4500,3600
2016,3,-2600,1300
2016,4,2475,1375
2016,5,1375,1375
2016,6,2250,-750
2016,7,-5600,4900
2016,8,6000,5000
2016,9,6200,3875
2016,10,5700,1900
2016,11,6500,1000
2016,12,12100,1650
2017,1,-1300,2275
2017,2,-1050,1050
2017,3,-4950,1650
2017,4,4400,1650
2017,5,10625,850
2017,6,3600,1000
2017,7,4650,775
2017,8,-9000,4500
2017,9,650,650
2017,10,4275,5225
2017,11,1750,1750
2017,12,4050,-675
