Year,Month,Apple Costs,Apple Price,Apple Sales,Banana Costs,Banana Price,Banana Sales
2014,1,17,10,575,11,17,1550
2014,2,20,29,450,14,11,2075
2014,3,8,21,950,5,18,1275
2014,4,13,25,625,5,16,1900
2014,5,10,19,550,15,18,1550
2014,6,2,22,550,15,16,1600
2014,7,20,25,575,15,19,1500
2014,8,16,30,525,15,13,575
2014,9,20,29,225,10,11,1425
2014,10,19,19,600,13,18,950
2014,11,14,17,725,5,17,2100
2014,12,14,17,400,11,10,975
2015,1,11,21,175,5,13,1375
2015,2,14,18,125,12,16,575
2015,3,2,14,425,5,18,900
2015,4,4,15,925,13,14,1050
2015,5,14,23,500,14,11,825
2015,6,22,16,200,5,17,375
2015,7,10,30,800,13,13,1375
2015,8,16,19,550,14,19,575
2015,9,6,10,750,5,18,1275
2015,10,8,29,550,13,13,1300
2015,11,21,25,475,15,20,1675
2015,12,19,21,975,9,15,1450
2016,1,14,15,425,5,20,950
2016,2,16,11,900,8,12,1850
2016,3,19,15,650,8,10,1825
2016,4,17,26,275,6,11,1350
2016,5,20,25,275,11,16,500
2016,6,10,13,750,13,12,1900
2016,7,18,10,700,5,12,950
2016,8,4,10,1000,15,20,1925
2016,9,17,25,775,12,17,2125
2016,10,18,30,475,11,15,650
2016,11,17,30,500,15,17,1300
2016,12,7,29,550,12,15,1200
2017,1,15,11,325,5,12,1200
2017,2,21,18,350,11,14,475
2017,3,20,14,825,15,17,725
2017,4,15,23,550,10,13,425
2017,5,2,27,425,9,11,1775
2017,6,7,25,200,8,13,325
2017,7,19,25,775,9,10,1050
2017,8,22,10,750,9,15,1000
2017,9,9,10,650,9,10,1075
2017,10,17,26,475,8,19,1250
2017,11,4,18,125,6,20,775
2017,12,15,21,675,15,14,1475
